#SampleID	cow	breed	day	time	rumen_ph	nh3_mg_dl	vfa_total_mM	acetic_acid_percent	propionic_acid_percent	isobutyric_acid_percent	butyric_acid_percent	isovaleric_acid_percent	valeric_acid_percent	hexanoic_acid_percent	heptanoic_acid_percent
#q2:types	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
S1	238	Jersey	0	0	6.42	10.6	78.5	65.5	20.6	1.1	10.8	0.7	0.9	0.2	0.2
S2	238	Jersey	0	6	6.62	7.48	83.5	64.8	21.4	0.8	11	0.6	1.1	0.2	0.2
S3	238	Jersey	0	12	6.9	8.96	99.7	64.7	21.4	0.7	11.3	0.5	1	0.2	0.2
S4	238	Jersey	0	18	6.58	11.6	90.6	64.6	20.7	0.7	12	0.5	1	0.2	0.2
S5	238	Jersey	0	24	6.47	10.3	99.6	65.3	19.1	0.9	12.6	0.7	1.1	0.2	0.2
S6	244	Jersey	0	0	6.17	11	89.7	62.6	21.7	0.7	11.9	0.6	1.3	0.8	0.2
S7	244	Jersey	0	6	6.9	6.73	56.1	65	20	0.6	11.8	0.4	1	0.7	0.4
S8	244	Jersey	0	12	6.48	16.1	73.5	65.5	19.7	0.8	10.9	0.6	1.4	0.8	0.3
S9	244	Jersey	0	18	6.32	8.17	63.9	68.2	16.5	1	12	0.7	0.9	0.5	0.3
S10	244	Jersey	0	24	6.49	6.45	69	65.4	19.3	0.7	11.9	0.5	1.2	0.8	0.3
S11	253	Jersey	0	0	6.17	7.85	69	67.2	16.9	1	12.4	0.7	1	0.6	0.3
S12	253	Jersey	0	6	6.27	5.15	76.4	66.3	18.3	0.9	12.2	0.6	1	0.6	0.3
S13	253	Jersey	0	12	6.85	5.45	70.3	66.8	18.5	0.7	11.9	0.4	0.9	0.5	0.3
S14	253	Jersey	0	18	6.61	6.39	81.7	67	18.9	0.8	11.1	0.5	0.9	0.5	0.2
S15	253	Jersey	0	24	6.16	8.11	85	66.2	19.9	0.7	10.6	0.5	1.2	0.6	0.2
S16	256	Jersey	0	0	6.38	6.11	89.4	66.5	17.4	0.7	11.5	0.6	1.6	1.4	0.3
S17	256	Jersey	0	6	6.56	4.43	82	67.5	16.6	0.8	11.6	0.6	1.4	1.2	0.3
S18	256	Jersey	0	12	6.43	8.75	87.5	67.1	17.3	0.7	11.5	0.6	1.4	1.2	0.3
S19	256	Jersey	0	18	7.14	6.84	72.9	68.3	16	0.8	12.3	0.6	1	0.7	0.3
S20	256	Jersey	0	24	6.31	7.36	62.7	67.2	16.7	0.8	12.5	0.5	1.1	0.8	0.3
S21	259	Jersey	0	0	6.41	8.68	76.5	67.7	17.7	0.7	11.8	0.5	1	0.5	0.2
S22	259	Jersey	0	6	6.93	6.18	71.3	67.9	17.3	0.6	12	0.4	1	0.5	0.3
S23	259	Jersey	0	12	7.4	5.99	74.4	68.7	17.1	0.6	11.4	0.4	0.9	0.5	0.3
S24	259	Jersey	0	18	7.37	6.44	71.1	68	17.8	0.5	11.5	0.4	1	0.6	0.3
S25	259	Jersey	0	24	6.89	6.55	74.5	69.1	16.2	0.8	11.5	0.6	0.9	0.5	0.3
S26	408	Holstein	0	0	6.4	5.28	84	64.4	21.5	0.9	10.8	0.7	1.2	0.4	0.2
S27	408	Holstein	0	6	6.13	5.67	83.8	66.5	19.1	0.9	11.1	0.7	1	0.4	0.2
S28	408	Holstein	0	12	6.05	6.86	76	67.9	17.5	0.9	11.1	0.7	1	0.6	0.3
S29	408	Holstein	0	18	6.23	4.28	87.1	66.4	17.2	0.7	13.2	0.5	1.1	0.7	0.2
S30	408	Holstein	0	24	6.26	9.03	101	66.7	17	0.8	12.8	0.6	1.1	0.7	0.2
S31	412	Holstein	0	0	6.15	4.97	78.1	66.1	21.4	0.8	9.4	0.5	1.1	0.5	0.3
S32	412	Holstein	0	6	6.22	4.06	60	68.5	19.8	0.8	8.6	0.5	1	0.5	0.3
S33	412	Holstein	0	12	7.29	4.42	71.8	69.2	19.1	0.7	8.8	0.5	1	0.6	0.3
S34	412	Holstein	0	18	6.25	7.8	96.9	67.2	19.2	0.6	10.2	0.4	1.3	1	0.2
S35	412	Holstein	0	24	6.34	3.83	86	67.3	18.6	0.6	10.6	0.5	1.3	0.9	0.3
S36	433	Holstein	0	0	6.37	7.86	89.2	66.9	19.1	0.8	10.8	0.6	1	0.5	0.2
S37	433	Holstein	0	6	6.44	5.18	64.7	68.3	18.8	0.6	9.9	0.4	1	0.6	0.3
S38	433	Holstein	0	12	7.35	5.49	70.7	69	18.2	0.7	10	0.5	0.9	0.5	0.3
