SRR12516865_1.fastq	S100_S100_L001_R1_001.fastq
SRR12516865_2.fastq	S100_S100_L001_R2_001.fastq
SRR12516866_1.fastq	S99_S99_L001_R1_001.fastq
SRR12516866_2.fastq	S99_S99_L001_R2_001.fastq
SRR12516867_1.fastq	S98_S98_L001_R1_001.fastq
SRR12516867_2.fastq	S98_S98_L001_R2_001.fastq
SRR12516868_1.fastq	S97_S97_L001_R1_001.fastq
SRR12516868_2.fastq	S97_S97_L001_R2_001.fastq
SRR12516869_1.fastq	S96_S96_L001_R1_001.fastq
SRR12516869_2.fastq	S96_S96_L001_R2_001.fastq
SRR12516870_1.fastq	S95_S95_L001_R1_001.fastq
SRR12516870_2.fastq	S95_S95_L001_R2_001.fastq
SRR12516871_1.fastq	S94_S94_L001_R1_001.fastq
SRR12516871_2.fastq	S94_S94_L001_R2_001.fastq
SRR12516872_1.fastq	S93_S93_L001_R1_001.fastq
SRR12516872_2.fastq	S93_S93_L001_R2_001.fastq
SRR12516873_1.fastq	S92_S92_L001_R1_001.fastq
SRR12516873_2.fastq	S92_S92_L001_R2_001.fastq
SRR12516874_1.fastq	S91_S91_L001_R1_001.fastq
SRR12516874_2.fastq	S91_S91_L001_R2_001.fastq
SRR12516875_1.fastq	S10_S10_L001_R1_001.fastq
SRR12516875_2.fastq	S10_S10_L001_R2_001.fastq
SRR12516876_1.fastq	S90_S90_L001_R1_001.fastq
SRR12516876_2.fastq	S90_S90_L001_R2_001.fastq
SRR12516877_1.fastq	S89_S89_L001_R1_001.fastq
SRR12516877_2.fastq	S89_S89_L001_R2_001.fastq
SRR12516878_1.fastq	S88_S88_L001_R1_001.fastq
SRR12516878_2.fastq	S88_S88_L001_R2_001.fastq
SRR12516879_1.fastq	S87_S87_L001_R1_001.fastq
SRR12516879_2.fastq	S87_S87_L001_R2_001.fastq
SRR12516880_1.fastq	S86_S86_L001_R1_001.fastq
SRR12516880_2.fastq	S86_S86_L001_R2_001.fastq
SRR12516881_1.fastq	S85_S85_L001_R1_001.fastq
SRR12516881_2.fastq	S85_S85_L001_R2_001.fastq
SRR12516882_1.fastq	S84_S84_L001_R1_001.fastq
SRR12516882_2.fastq	S84_S84_L001_R2_001.fastq
SRR12516883_1.fastq	S83_S83_L001_R1_001.fastq
SRR12516883_2.fastq	S83_S83_L001_R2_001.fastq
SRR12516884_1.fastq	S82_S82_L001_R1_001.fastq
SRR12516884_2.fastq	S82_S82_L001_R2_001.fastq
SRR12516885_1.fastq	S81_S81_L001_R1_001.fastq
SRR12516885_2.fastq	S81_S81_L001_R2_001.fastq
SRR12516886_1.fastq	S9_S9_L001_R1_001.fastq
SRR12516886_2.fastq	S9_S9_L001_R2_001.fastq
SRR12516887_1.fastq	S80_S80_L001_R1_001.fastq
SRR12516887_2.fastq	S80_S80_L001_R2_001.fastq
SRR12516888_1.fastq	S79_S79_L001_R1_001.fastq
SRR12516888_2.fastq	S79_S79_L001_R2_001.fastq
SRR12516889_1.fastq	S78_S78_L001_R1_001.fastq
SRR12516889_2.fastq	S78_S78_L001_R2_001.fastq
SRR12516890_1.fastq	S77_S77_L001_R1_001.fastq
SRR12516890_2.fastq	S77_S77_L001_R2_001.fastq
SRR12516891_1.fastq	S76_S76_L001_R1_001.fastq
SRR12516891_2.fastq	S76_S76_L001_R2_001.fastq
SRR12516892_1.fastq	S75_S75_L001_R1_001.fastq
SRR12516892_2.fastq	S75_S75_L001_R2_001.fastq
SRR12516893_1.fastq	S74_S74_L001_R1_001.fastq
SRR12516893_2.fastq	S74_S74_L001_R2_001.fastq
SRR12516894_1.fastq	S73_S73_L001_R1_001.fastq
SRR12516894_2.fastq	S73_S73_L001_R2_001.fastq
SRR12516895_1.fastq	S72_S72_L001_R1_001.fastq
SRR12516895_2.fastq	S72_S72_L001_R2_001.fastq
SRR12516896_1.fastq	S71_S71_L001_R1_001.fastq
